idna_subject,checker_type,destination,source,tested_at,session_id
plus,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:11.436189,5adba8cd33504b06f7c18784
||ads*.qadabra.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:15.455581,5adba8cd33504b06f7c18784
01net.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:30.527771,5adba8cd33504b06f7c18784
105.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:32.975236,5adba8cd33504b06f7c18784
123people.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:35.986656,5adba8cd33504b06f7c18784
1fichier.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:36.665607,5adba8cd33504b06f7c18784
2conv.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:38.009388,5adba8cd33504b06f7c18784
3bmeteo.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:38.490933,5adba8cd33504b06f7c18784
4shared.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:39.604772,5adba8cd33504b06f7c18784
5nowvideo.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:40.759721,5adba8cd33504b06f7c18784
4minuti.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:40.847715,5adba8cd33504b06f7c18784
9gag.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:41.773086,5adba8cd33504b06f7c18784
9to5google.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:41.832097,5adba8cd33504b06f7c18784
9to5mac.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:42.678177,5adba8cd33504b06f7c18784
a.ligatus.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:43.321910,5adba8cd33504b06f7c18784
abcnews.go.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:43.715183,5adba8cd33504b06f7c18784
accountsettings.ebay.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:43.916278,5adba8cd33504b06f7c18784
6sicuro.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:51.535009,5adba8cd33504b06f7c18784
adamtheautomator.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:55.317039,5adba8cd33504b06f7c18784
addictivetips.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:56.360712,5adba8cd33504b06f7c18784
adf.ly,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:57.309901,5adba8cd33504b06f7c18784
adnkronos.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:07:59.696041,5adba8cd33504b06f7c18784
ads*.contentabc.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:00.665976,5adba8cd33504b06f7c18784
ads*.msn.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:01.095657,5adba8cd33504b06f7c18784
accuweather.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:02.129780,5adba8cd33504b06f7c18784
agar.io,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:03.789758,5adba8cd33504b06f7c18784
affaritaliani.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:05.307467,5adba8cd33504b06f7c18784
agnitogeek.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:05.365612,5adba8cd33504b06f7c18784
agi.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:05.501887,5adba8cd33504b06f7c18784
aggiustatutto.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:06.238531,5adba8cd33504b06f7c18784
agoravox.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:07.235545,5adba8cd33504b06f7c18784
alfemminile.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:07.188314,5adba8cd33504b06f7c18784
allkeyshop.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:09.604841,5adba8cd33504b06f7c18784
almico.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:09.469344,5adba8cd33504b06f7c18784
alguer.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:10.369983,5adba8cd33504b06f7c18784
alt-codes.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:10.407024,5adba8cd33504b06f7c18784
altadefinizione.bid,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:10.957734,5adba8cd33504b06f7c18784
altadefinizione.tv,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:11.355634,5adba8cd33504b06f7c18784
alternativeto.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:12.613559,5adba8cd33504b06f7c18784
altroconsumo.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:13.727421,5adba8cd33504b06f7c18784
alvolante.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:14.498256,5adba8cd33504b06f7c18784
amando.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:15.749350,5adba8cd33504b06f7c18784
amazon.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:15.766385,5adba8cd33504b06f7c18784
amazon.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:17.437386,5adba8cd33504b06f7c18784
amp.tgcom24.mediaset.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:17.963597,5adba8cd33504b06f7c18784
amp.ilgiornale.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:18.227937,5adba8cd33504b06f7c18784
andreagaleazzi.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:19.052735,5adba8cd33504b06f7c18784
androidauthority.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:19.282911,5adba8cd33504b06f7c18784
androidcentral.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:20.183717,5adba8cd33504b06f7c18784
amp24.ilsole24ore.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:20.881855,5adba8cd33504b06f7c18784
androidiani.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:22.294139,5adba8cd33504b06f7c18784
androidpit.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:24.628947,5adba8cd33504b06f7c18784
altalex.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:25.849515,5adba8cd33504b06f7c18784
androidpit.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:26.984988,5adba8cd33504b06f7c18784
androidworld.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:29.581185,5adba8cd33504b06f7c18784
anoopcnair.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:29.673933,5adba8cd33504b06f7c18784
ansa.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:31.532749,5adba8cd33504b06f7c18784
answers.yahoo.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:34.134256,5adba8cd33504b06f7c18784
apkmirror.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:34.920784,5adba8cd33504b06f7c18784
apkamp.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:35.019027,5adba8cd33504b06f7c18784
appletoolbox.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:35.274588,5adba8cd33504b06f7c18784
appstorm.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:35.930153,5adba8cd33504b06f7c18784
appcrawlr.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:35.957404,5adba8cd33504b06f7c18784
applezein.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:37.090222,5adba8cd33504b06f7c18784
aranzulla.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:37.328439,5adba8cd33504b06f7c18784
armorgames.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:38.440681,5adba8cd33504b06f7c18784
aranzulla.tecnologia.virgilio.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:39.301005,5adba8cd33504b06f7c18784
arstechnica.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:39.573042,5adba8cd33504b06f7c18784
artribune.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:41.782990,5adba8cd33504b06f7c18784
assistenza-mail.virgilio.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:42.105695,5adba8cd33504b06f7c18784
aquaneva.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:42.079477,5adba8cd33504b06f7c18784
assodigitale.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:45.649116,5adba8cd33504b06f7c18784
audiko.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:47.871451,5adba8cd33504b06f7c18784
autoaspillo.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:49.622391,5adba8cd33504b06f7c18784
autoblog.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:49.629929,5adba8cd33504b06f7c18784
askstudent.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:50.551496,5adba8cd33504b06f7c18784
autoaz.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:51.778510,5adba8cd33504b06f7c18784
autos.yahoo.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:51.944367,5adba8cd33504b06f7c18784
automoto.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:52.080240,5adba8cd33504b06f7c18784
autoscout24.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:52.683596,5adba8cd33504b06f7c18784
avaxhome.ws,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:55.201566,5adba8cd33504b06f7c18784
avaxsearch.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:55.917311,5adba8cd33504b06f7c18784
avvenire.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:58.279260,5adba8cd33504b06f7c18784
backin.net,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:59.207336,5adba8cd33504b06f7c18784
baeldung.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:59.541082,5adba8cd33504b06f7c18784
badtaste.it,AVAILABILITY,origin.list,origin.list,2023-10-19 05:08:59.565264,5adba8cd33504b06f7c18784
bannerflow.com,AVAILABILITY,origin.list,origin.list,2023-10-19 05:09:00.704205,5adba8cd33504b06f7c18784
bbc.co.uk,AVAILABILITY,origin.list,origin.list,2023-10-19 05:09:01.035082,5adba8cd33504b06f7c18784
