# Generated by PyFunceble (v4.2.4.dev) / https://pyfunceble.github.io
# Date of generation: 2023-10-13T05:38:42.385811

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
CSC Corporate Domains, Inc.    15%          4           
GoDaddy.com, LLC               15%          4           
Key-Systems GmbH               15%          4           
LEXSYNERGY LIMITED             15%          4           
Nom-iq Ltd. dba COM LAUDE      15%          4           
GANDI                          8%           2           
NameCheap, Inc.                8%           2           
TLDS L.L.C. d/b/a SRSPlus      8%           2           
CSC Corporate Domains, Inc.    15%          4           
GoDaddy.com, LLC               15%          4           
Key-Systems GmbH               15%          4           
LEXSYNERGY LIMITED             15%          4           
Nom-iq Ltd. dba COM LAUDE      15%          4           
GANDI                          8%           2           
NameCheap, Inc.                8%           2           
TLDS L.L.C. d/b/a SRSPlus      8%           2           
